,setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
42,42,dummy,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937
43,43,dummy,3U3BXlwNTkCx7lW9m1H9RY,0.823,0.822,1,-5.323,0,0.0334,0.113,4.57e-05,0.0688,0.938,125.026
44,44,dummy,1DunhgeZSEgWiIYbHqXl0c,0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986
45,45,dummy,3rDFqo8yv93PtTmdOYOPzX,0.666,0.877,0,-4.657,0,0.0446,0.0277,1.15e-05,0.142,0.272,125.989
46,46,dummy,0Puj4YlTm6xNzDDADXHMI9,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131
47,47,dummy,3VOc8XhPd85h5xQvePytPz,0.785,0.895,7,-4.03,0,0.0276,0.0783,0.00425,0.236,0.967,119.999
48,48,dummy,7vjzFWG4neQ9YYMN9yZ9hr,0.47,0.952,11,-3.641,0,0.134,0.000139,0.00283,0.386,0.398,170.058
49,49,dummy,7mCQK9YB25WZw1saUjfL4e,0.665,0.991,7,-6.725,1,0.256,0.0117,0.00392,0.339,0.0676,152.596
50,50,dummy,3xr8COed4nPPn6XWZ0iCGr,0.287,0.292,9,-19.285,1,0.0541,0.968,0.978,0.09,0.346,145.703
51,51,dummy,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961
52,52,dummy,0RtHLph8SuBwWvH9T9hIRa,0.569,0.706,6,-6.109,0,0.032,8.92e-05,0.788,0.635,0.259,127.938
53,53,dummy,2atYprr9JsQaLynGhrWhld,0.458,0.821,9,-5.076,1,0.0334,0.000594,9.46e-05,0.161,0.323,144.46
54,54,dummy,0i5el041vd6nxrGEU8QRxy,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0
55,55,dummy,3YPiRYIUFlcQ0aaLGmeswS,0.464,0.098,10,-12.119,1,0.0376,0.865,0.0,0.101,0.234,78.864
56,56,dummy,3Knohqfb9jeYzL6wMZiWLM,0.104,0.111,1,-20.031,1,0.0517,0.979,0.926,0.11,0.039,83.933
57,57,dummy,3G6hD9B2ZHOsgf4WfNu7X1,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961
58,58,dummy,5WZn6AJc3D8xM58UqPlco9,0.596,0.814,7,-6.226,1,0.0392,0.113,0.0195,0.112,0.519,108.51
59,59,dummy,7hwcojGiRqYm100tSmpZE3,0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154
60,60,dummy,4z1O25cq9g2kuJemmUxc21,0.81,0.436,10,-12.683,1,0.0717,0.689,0.000151,0.11,0.446,119.973
61,61,dummy,0cITLOYn1Sv4q27zZPqlNK,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978
62,62,dummy,6EKywtYHtZLAvxyEcqrbE7,0.145,0.174,7,-19.155,1,0.0396,0.516,0.633,0.0784,0.132,100.089
63,63,dummy,2MLHyLy5z5l5YRp7momlgw,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623
64,64,dummy,3FM33HqRlV7J1QJoPOnd2u,0.591,0.831,0,-5.647,1,0.0415,0.0605,4.67e-05,0.19,0.705,144.084
65,65,dummy,35KiiILklye1JRRctaLUb4,0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969
66,66,dummy,6HCnIDW7vWKzL97TT3gVX5,0.676,0.119,0,-15.601,1,0.035,0.988,0.88,0.104,0.3,123.95
67,67,dummy,3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
68,68,dummy,03UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067
69,69,dummy,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114
70,70,dummy,4gdwUYVnVv8u0t6XaYob4v,0.191,0.112,0,-25.688,0,0.0394,0.982,0.904,0.101,0.328,139.198
71,71,dummy,4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055
72,72,dummy,2lFTzUnuGaWlWHJQokjRyb,0.558,0.837,3,-4.405,1,0.0633,0.418,0.0,0.0821,0.488,117.963
73,73,dummy,2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878
74,74,dummy,4JtvyWkWQTPVcroZf8JJkp,0.403,0.591,1,-8.126,1,0.0514,0.511,0.896,0.108,0.192,135.047
75,75,dummy,60ZGteAEtPCnGE6zevgUcd,0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021
