setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
165,Clouds Part,7ynEnHDa88G4wX0KvtzCxP,0.447,0.357,7,-14.694,1,0.0287,0.389,0.966,0.109,0.0386,80.015
166,Kulning,66hBtNKN7ofJ4tWy0kSqQ3,0.438,0.0404,7,-19.643,1,0.042,0.916,0.265,0.212,0.073,124.186
167,Savasana,5OWitBhgqlcQK3xUwibEya,0.236,0.0204,1,-22.687,1,0.037,0.966,0.81,0.149,0.046,86.077
168,Nefelibata,07MRGolhqppoqEWDV5aZhJ,0.231,0.0212,2,-31.979,1,0.0389,0.989,0.865,0.105,0.0931,69.689
169,Eunoia,7qpWLNqJUYQpoNtoZcTDaU,0.0721,0.00957,2,-33.425,0,0.0423,0.993,0.968,0.118,0.0428,76.324
170,Awakening,5db1SLjPimPV4jc5SkAZ2b,0.151,0.0973,0,-21.969,1,0.072,0.308,0.883,0.117,0.0328,166.335
171,Pads of Redemption,5I3JZ3zvxKQMdp9rEcGkiR,0.274,0.0417,0,-23.499,0,0.034,0.902,0.903,0.112,0.0613,43.513
172,The Healing Process,23puVz6Rhiq8Wax9KxnZtW,0.241,0.0553,3,-23.605,1,0.0336,0.926,0.93,0.108,0.0643,135.859
173,Grateful Minds,1nwYsdWElwCywLZiY3J1g9,0.369,0.119,0,-17.437,1,0.0405,0.941,0.9,0.104,0.0687,75.007
174,Calm Rivers,6KUSRcBYmNADirGQcEZ2gK,0.11,0.0978,3,-26.015,1,0.0455,0.983,0.894,0.105,0.0388,75.573
175,Back In Time,3DoRDvjKb1CMgF1oyko1GX,0.236,0.0164,5,-32.58,1,0.0854,0.996,0.869,0.102,0.191,133.171
176,The Art Of Love,7hXKIp3IX3nrvHkq34zbMG,0.188,0.0259,11,-23.169,1,0.0369,0.967,0.957,0.103,0.0625,78.517
177,Owls,6PVUZBg7qJv94rC8EoWXrL,0.211,0.053,7,-20.408,1,0.038,0.949,0.915,0.111,0.0363,110.314
178,Avalon,6dy23Jk4fxlwTLxB9o4olF,0.0852,0.195,2,-20.363,1,0.041,0.621,0.865,0.107,0.0382,71.049
179,Morning Rain,6XbDqOFRhuOjKzo4uFbdw2,0.227,0.145,2,-17.682,1,0.0287,0.926,0.914,0.0956,0.0371,84.562
180,Incubations,1uO9ZJFzDuwQ2XzmHt5TmN,0.194,0.0388,2,-28.622,0,0.0421,0.987,0.761,0.104,0.0952,83.457
181,Song of the Mountains,5QQayYC3j9fRybo6YoiNmi,0.114,0.186,8,-20.748,0,0.0443,0.981,0.965,0.0664,0.0339,90.722
182,The Space Between Us,5zIsoqu053UuhfjlxSlyMP,0.185,0.124,1,-21.456,1,0.0381,0.746,0.86,0.101,0.0411,99.615
183,Sweetness,2mSyIYh8RWxXzeKh69PxpR,0.134,0.0913,4,-16.059,0,0.0416,0.976,0.956,0.101,0.0353,82.057
184,Lullaby Beach,1BGfSY9V8lRRREXLEywGcm,0.143,0.175,7,-19.153,1,0.0331,0.9,0.817,0.118,0.0463,90.135
185,Kyoto,0SEmfr0lcljA3KFZtAxto4,0.151,0.0244,6,-32.248,0,0.04,0.98,0.912,0.11,0.0358,65.585
186,The Golden Path,4Yfx8KnmfYaNr58SVLV4QY,0.121,0.138,8,-23.743,1,0.0603,0.735,0.831,0.0864,0.0332,66.373
187,One Simple Day,72m4yj70tdBd95AumCShfr,0.396,0.104,3,-19.282,1,0.0327,0.971,0.931,0.112,0.146,80.002
188,Kvikkjokk,5fqtStRCkILhIDMdQFyg9K,0.195,0.239,9,-17.854,0,0.0394,0.706,0.912,0.11,0.0353,68.622
189,I Know You're Here,15IzXs0Oln8qBHIJUYLSzM,0.193,0.176,4,-22.795,0,0.0411,0.949,0.929,0.108,0.069,73.029
190,Relaxation,7xD5j8ZCGDAPTTH5EfAVRf,0.281,0.0197,1,-21.443,1,0.0353,0.951,0.889,0.108,0.039,135.488
191,Slumbering,7G93PdOrq65MM44MULk4LF,0.213,0.0153,8,-26.337,1,0.0386,0.923,0.922,0.111,0.0823,71.978
192,legacy,4EWCM7S4DAtpSJ0BOiM9LK,0.0787,0.0286,0,-27.679,1,0.0469,0.945,0.952,0.112,0.117,185.948
193,Leaving Port,4Qaa8G7prYX6W6XHGq0OIw,0.175,0.00786,7,-30.964,1,0.0487,0.975,0.965,0.11,0.0381,79.893
194,Éjszakai,2qHGPanT2ux9hwZDbmPr8t,0.201,0.00272,10,-35.169,1,0.041,0.987,0.879,0.116,0.0992,68.22
195,No me despiertes,3CkHOquzU3g6ekoYiuo5Fo,0.203,0.00588,5,-34.66,1,0.0391,0.99,0.829,0.118,0.0418,69.468
196,Nocturne,68kWt9VWUD62Ga664SDCiz,0.325,0.0101,5,-27.038,1,0.0419,0.996,0.94,0.107,0.2,65.344
